"Monster ID","Monster","Data ID","Reward Type ID","Reward Type","Parts Index","Rank","Item","Number","Probability"
"EM0001_00_0","Rathian",100,"RW000","Carving",-1,"HIGH","Rathian Scale+",1,0.3
"EM0001_00_0","Rathian",101,"RW000","Carving",-1,"HIGH","Rathian Carapace",1,0.23
"EM0001_00_0","Rathian",102,"RW000","Carving",-1,"HIGH","Rathian Webbing",1,0.18
"EM0001_00_0","Rathian",103,"RW000","Carving",-1,"HIGH","Rathian Spike+",1,0.13
"EM0001_00_0","Rathian",104,"RW000","Carving",-1,"HIGH","Rath Medulla",1,0.11
"EM0001_00_0","Rathian",105,"RW000","Carving",-1,"HIGH","Rathian Ruby",1,0.05
"EM0001_00_0","Rathian",110,"RW008","Carving (Rotten Monster Carcass)",-1,"HIGH","Rathian Scale+",1,0.4
"EM0001_00_0","Rathian",111,"RW008","Carving (Rotten Monster Carcass)",-1,"HIGH","Rathian Carapace",1,0.3
"EM0001_00_0","Rathian",112,"RW008","Carving (Rotten Monster Carcass)",-1,"HIGH","Inferno Sac",1,0.3
"EM0001_00_0","Rathian",200,"RW001","Carving (Severed Part)",-1,"HIGH","Rathian Spike+",1,0.8
"EM0001_00_0","Rathian",201,"RW001","Carving (Severed Part)",-1,"HIGH","Rath Medulla",1,0.13
"EM0001_00_0","Rathian",202,"RW001","Carving (Severed Part)",-1,"HIGH","Rathian Ruby",1,0.07
"EM0001_00_0","Rathian",210,"RW012","Carving (Rotten Severed Part)",-1,"HIGH","Rathian Scale+",1,0.6
"EM0001_00_0","Rathian",211,"RW012","Carving (Rotten Severed Part)",-1,"HIGH","Rathian Spike+",1,0.4
"EM0001_00_0","Rathian",300,"RW005","Broken Part Rewards",1,"HIGH","Rathian Webbing",1,1
"EM0001_00_0","Rathian",310,"RW005","Broken Part Rewards",2,"HIGH","Rathian Webbing",1,1
"EM0001_00_0","Rathian",400,"RW006","Wound Destroyed Reward",-1,"HIGH","Rathian Scale+",1,0.5
"EM0001_00_0","Rathian",401,"RW006","Wound Destroyed Reward",-1,"HIGH","Rathian Carapace",1,0.42
"EM0001_00_0","Rathian",402,"RW006","Wound Destroyed Reward",-1,"HIGH","Rathian Spike+",1,0.08
"EM0001_00_0","Rathian",500,"RW004","Target Rewards",-1,"HIGH","Rathian Certificate S",1,0.08
"EM0001_00_0","Rathian",500,"RW004","Target Rewards",-1,"HIGH","Rathian Scale+",1,0.23
"EM0001_00_0","Rathian",500,"RW004","Target Rewards",-1,"HIGH","Rathian Webbing",1,0.33
"EM0001_00_0","Rathian",500,"RW004","Target Rewards",-1,"HIGH","Rathian Ruby",1,1
"EM0001_00_0","Rathian",501,"RW004","Target Rewards",-1,"HIGH","Rathian Scale+",1,0.2
"EM0001_00_0","Rathian",501,"RW004","Target Rewards",-1,"HIGH","Rathian Carapace",1,0.23
"EM0001_00_0","Rathian",501,"RW004","Target Rewards",-1,"HIGH","Rathian Spike+",1,0.21
"EM0001_00_0","Rathian",502,"RW004","Target Rewards",-1,"HIGH","Rathian Carapace",1,0.2
"EM0001_00_0","Rathian",502,"RW004","Target Rewards",-1,"HIGH","Rathian Webbing",1,0.16
"EM0001_00_0","Rathian",502,"RW004","Target Rewards",-1,"HIGH","Rath Medulla",1,0.21
"EM0001_00_0","Rathian",503,"RW004","Target Rewards",-1,"HIGH","Rathian Webbing",1,0.15
"EM0001_00_0","Rathian",503,"RW004","Target Rewards",-1,"HIGH","Rathian Spike+",1,0.1
"EM0001_00_0","Rathian",503,"RW004","Target Rewards",-1,"HIGH","Inferno Sac",2,0.18
"EM0001_00_0","Rathian",504,"RW004","Target Rewards",-1,"HIGH","Rathian Spike+",1,0.08
"EM0001_00_0","Rathian",504,"RW004","Target Rewards",-1,"HIGH","Rath Medulla",1,0.1
"EM0001_00_0","Rathian",504,"RW004","Target Rewards",-1,"HIGH","Rathian Ruby",1,0.07
"EM0001_00_0","Rathian",505,"RW004","Target Rewards",-1,"HIGH","Rath Medulla",1,0.08
"EM0001_00_0","Rathian",505,"RW004","Target Rewards",-1,"HIGH","Inferno Sac",1,0.15
"EM0001_00_0","Rathian",506,"RW004","Target Rewards",-1,"HIGH","Inferno Sac",1,0.18
"EM0001_00_0","Rathian",506,"RW004","Target Rewards",-1,"HIGH","Rathian Ruby",1,0.03
"EM0001_00_0","Rathian",507,"RW004","Target Rewards",-1,"HIGH","Rathian Ruby",1,0.03
"EM0001_00_0","Rathian",600,"RW015","Tempered Wound Destroyed Reward",-1,"HIGH","Wyverian Bloodstone (S)",1,0.65
"EM0001_00_0","Rathian",601,"RW015","Tempered Wound Destroyed Reward",-1,"HIGH","Wyverian Bloodstone",1,0.35
"EM0002_00_0","Rathalos",100,"RW000","Carving",-1,"HIGH","Rathalos Scale+",1,0.3
"EM0002_00_0","Rathalos",101,"RW000","Carving",-1,"HIGH","Rathalos Carapace",1,0.23
"EM0002_00_0","Rathalos",102,"RW000","Carving",-1,"HIGH","Rathalos Wing",1,0.18
"EM0002_00_0","Rathalos",103,"RW000","Carving",-1,"HIGH","Rathalos Tail",1,0.13
"EM0002_00_0","Rathalos",104,"RW000","Carving",-1,"HIGH","Rath Medulla",1,0.11
"EM0002_00_0","Rathalos",105,"RW000","Carving",-1,"HIGH","Rathalos Ruby",1,0.05
"EM0002_00_0","Rathalos",150,"RW008","Carving (Rotten Monster Carcass)",-1,"HIGH","Rathalos Scale+",1,0.4
"EM0002_00_0","Rathalos",151,"RW008","Carving (Rotten Monster Carcass)",-1,"HIGH","Rathalos Carapace",1,0.3
"EM0002_00_0","Rathalos",152,"RW008","Carving (Rotten Monster Carcass)",-1,"HIGH","Inferno Sac",1,0.3
"EM0002_00_0","Rathalos",200,"RW001","Carving (Severed Part)",-1,"HIGH","Rathalos Tail",1,0.8
"EM0002_00_0","Rathalos",201,"RW001","Carving (Severed Part)",-1,"HIGH","Rath Medulla",1,0.13
"EM0002_00_0","Rathalos",202,"RW001","Carving (Severed Part)",-1,"HIGH","Rathalos Ruby",1,0.07
"EM0002_00_0","Rathalos",250,"RW012","Carving (Rotten Severed Part)",-1,"HIGH","Rathalos Scale+",1,0.6
"EM0002_00_0","Rathalos",251,"RW012","Carving (Rotten Severed Part)",-1,"HIGH","Rathalos Tail",1,0.4
"EM0002_00_0","Rathalos",300,"RW005","Broken Part Rewards",1,"HIGH","Rathalos Wing",1,1
"EM0002_00_0","Rathalos",310,"RW005","Broken Part Rewards",2,"HIGH","Rathalos Wing",1,1
"EM0002_00_0","Rathalos",400,"RW006","Wound Destroyed Reward",-1,"HIGH","Rathalos Scale+",1,0.5
"EM0002_00_0","Rathalos",401,"RW006","Wound Destroyed Reward",-1,"HIGH","Rathalos Carapace",1,0.5
"EM0002_00_0","Rathalos",500,"RW004","Target Rewards",-1,"HIGH","Rathalos Certificate S",1,0.08
"EM0002_00_0","Rathalos",500,"RW004","Target Rewards",-1,"HIGH","Rathalos Scale+",1,0.23
"EM0002_00_0","Rathalos",500,"RW004","Target Rewards",-1,"HIGH","Rathalos Wing",1,0.33
"EM0002_00_0","Rathalos",500,"RW004","Target Rewards",-1,"HIGH","Rathalos Ruby",1,1
"EM0002_00_0","Rathalos",501,"RW004","Target Rewards",-1,"HIGH","Rathalos Scale+",1,0.2
"EM0002_00_0","Rathalos",501,"RW004","Target Rewards",-1,"HIGH","Rathalos Carapace",1,0.23
"EM0002_00_0","Rathalos",501,"RW004","Target Rewards",-1,"HIGH","Rathalos Tail",1,0.21
